instrument,set,k,lane_sharpe,bench_sharpe,n_trades,tstat,min_tstat_K4,min_tstat_K60,fixed_sharpe,searched_sharpe,selection_gap,mean_pos_corr,gate,reason_class,verdict
TLT,set5,2,0.36888055183004986,0.24266820696049476,131,0.48868768205789126,2.2414027276049464,3.143980287069073,0.19539461738998548,0.5016924822750319,0.30629786488504646,0.04691477651573037,FAIL,FAIL_UNDERPERFORM,KILL
TLT,set5,3,0.3382629934862525,0.24266820696049476,200,0.37014602553254405,2.2414027276049464,3.143980287069073,0.5016924822750319,0.5016924822750319,0.0,0.04691477651573037,PASS,PASS,KEEP
TSLA,set3,2,0.7113822479697807,0.9279233460305005,128,-0.8244885277345503,2.2414027276049464,3.143980287069073,0.4476051693145475,0.7621903314610606,0.3145851621465131,-0.1170801355777985,FAIL,FAIL_UNDERPERFORM,KILL
TSLA,set3,3,0.39243460791661994,0.9279233460305005,36,-2.0396056616979092,2.2414027276049464,3.143980287069073,0.2682561279609272,0.7621903314610606,0.49393420350013345,-0.1170801355777985,FAIL,FAIL_UNDERPERFORM,KILL
TSLA,set5,2,0.9644799019390593,0.9279233460305005,69,0.13913201289363064,2.2414027276049464,3.143980287069073,0.7621903314610606,0.7621903314610606,0.0,-0.030085434751087527,PASS,PASS,KEEP
TSLA,set5,3,0.6462393155385776,0.9279233460305005,227,-1.0726167574334844,2.2414027276049464,3.143980287069073,0.43120165551589584,0.7621903314610606,0.3309886759451648,-0.030085434751087527,FAIL,FAIL_UNDERPERFORM,KILL
XOM,set3,2,0.4348294613950682,0.3906832284981404,124,0.1709229491780489,2.2414027276049464,3.143980287069073,0.37073841043403377,0.4076995619658452,0.036961151531811454,-0.07082292680127436,PASS,PASS,KEEP
XOM,set3,3,0.4460899732812064,0.3906832284981404,58,0.21451866765647642,2.2414027276049464,3.143980287069073,0.4076995619658452,0.4076995619658452,0.0,-0.07082292680127436,PASS,PASS,KEEP
XOM,set5,2,0.37854930459850716,0.3906832284981404,143,-0.04698159003933448,2.2414027276049464,3.143980287069073,0.29655219332770116,0.4076995619658452,0.11114736863814406,-0.0045473944313766,PASS,PASS,KILL
XOM,set5,3,0.42669635568982955,0.3906832284981404,196,0.13943460806349797,2.2414027276049464,3.143980287069073,0.3178342485532479,0.4076995619658452,0.08986531341259735,-0.0045473944313766,PASS,PASS,KEEP
