instrument,set,k,lane_sharpe,bench_sharpe,n_trades,bench_trades,exit_events,flat_bars,flat_fraction,tstat,min_tstat_K4,min_tstat_K60,fixed_sharpe,searched_sharpe,selection_gap,mean_exit_corr,gate,reason_class,degenerate,verdict
QQQ,set5,3,0.7957356855255114,0.9431749535660251,228,1,115,1720,0.45514686424980155,-0.5705959729349043,2.2414027276049464,3.143980287069073,0.6815837953037687,0.7723171573861912,0.09073336208242255,-0.001287499669539438,FAIL,FAIL_UNDERPERFORM,False,KILL
SLV,set3,2,-0.08727443897856917,0.25283259990457096,140,1,71,2405,0.6364117491399841,-1.3170446973223087,2.2414027276049464,3.143980287069073,-0.37189430549709407,0.17618246256071815,0.5480767680578122,-0.10953380136844999,FAIL,FAIL_NONPOSITIVE,False,KILL
SLV,set3,3,0.214377256052022,0.25283259990457096,68,1,35,528,0.13971950251389256,-0.14891041526379778,2.2414027276049464,3.143980287069073,0.17618246256071815,0.17618246256071815,0.0,-0.10953380136844999,PASS,PASS,False,KILL
SLV,set5,2,-0.22407694121117014,0.25283259990457096,142,1,72,3053,0.8078856840433978,-1.8467263869570352,2.2414027276049464,3.143980287069073,-0.32206830370605,0.17618246256071815,0.4982507662667681,-0.014589277030360514,FAIL,FAIL_NONPOSITIVE,False,KILL
SLV,set5,3,-0.17834585167711178,0.25283259990457096,278,1,140,2010,0.5318867425244774,-1.6696733697674877,2.2414027276049464,3.143980287069073,-0.28717851514926984,0.17618246256071815,0.46336097770998796,-0.014589277030360514,FAIL,FAIL_NONPOSITIVE,False,KILL
SPY,set3,2,0.7603009816688767,0.8673964015186144,128,1,65,1547,0.4093675575549087,-0.414486281727767,2.2414027276049464,3.143980287069073,0.680758517798877,0.8136807891164966,0.13292227131761958,-0.08903424680420391,FAIL,FAIL_UNDERPERFORM,False,KILL
SPY,set3,3,0.9159271096924918,0.8673964015186144,37,1,19,194,0.05133633236305901,0.18777754506240515,2.2414027276049464,3.143980287069073,0.8136807891164966,0.8136807891164966,0.0,-0.08903424680420391,PASS,PASS,False,KEEP
SPY,set5,2,0.29890350878307326,0.8673964015186144,98,1,50,3248,0.8594866366763694,-2.2012771483113713,2.2414027276049464,3.143980287069073,0.3148463837424228,0.8136807891164966,0.49883440537407375,0.04219876258015583,FAIL,FAIL_UNDERPERFORM,False,KILL
SPY,set5,3,0.6921258763085631,0.8673964015186144,220,1,111,1731,0.45805768721884094,-0.6784077008792969,2.2414027276049464,3.143980287069073,0.6271662608226724,0.8136807891164966,0.1865145282938242,0.04219876258015583,FAIL,FAIL_UNDERPERFORM,False,KILL
TLT,set3,2,0.31685708508999016,0.24266820696049476,116,1,59,2171,0.5744906059804181,0.2872656693433283,2.2414027276049464,3.143980287069073,0.32842653155538787,0.5016924822750319,0.17326595071964407,-0.07264623519672331,PASS,PASS,False,KEEP
TLT,set3,3,0.3423223131837285,0.24266820696049476,43,1,22,534,0.1413072241333686,0.3858627819804214,2.2414027276049464,3.143980287069073,0.30060532986716326,0.5016924822750319,0.20108715240786867,-0.07264623519672331,PASS,PASS,False,KEEP
TLT,set5,2,-0.04393079356075388,0.24266820696049476,88,1,45,3223,0.8528711299285525,-1.1098441969517772,2.2414027276049464,3.143980287069073,-0.038248439502762355,0.5016924822750319,0.5399409217777943,0.04691477651573052,FAIL,FAIL_NONPOSITIVE,False,KILL
TLT,set5,3,0.3382629934862525,0.24266820696049476,200,1,101,1991,0.5268589573961365,0.37014602553254405,2.2414027276049464,3.143980287069073,0.5016924822750319,0.5016924822750319,0.0,0.04691477651573052,PASS,PASS,False,KEEP
TSLA,set3,2,0.7113822479697807,0.9279233460305005,128,1,65,2014,0.5507246376811594,-0.8244885277345503,2.2414027276049464,3.143980287069073,0.4476051693145475,0.7901127901795009,0.34250762086495334,-0.11708013557779857,FAIL,FAIL_UNDERPERFORM,False,KILL
TSLA,set3,3,0.9753592865445601,0.9279233460305005,51,1,26,353,0.09652720809406617,0.18053451159248834,2.2414027276049464,3.143980287069073,0.7901127901795009,0.7901127901795009,0.0,-0.11708013557779857,PASS,PASS,False,KEEP
TSLA,set5,2,0.21928915894224615,0.9279233460305005,160,1,81,2849,0.7790538692917692,-2.6993773080264942,2.2414027276049464,3.143980287069073,0.19951859662523724,0.7901127901795009,0.5905941935542636,-0.030085434751087548,FAIL,FAIL_UNDERPERFORM,False,KILL-SIG
TSLA,set5,3,0.6462393155385776,0.9279233460305005,227,1,114,1453,0.397320207820618,-1.0726167574334844,2.2414027276049464,3.143980287069073,0.43120165551589584,0.7901127901795009,0.358911134663605,-0.030085434751087548,FAIL,FAIL_UNDERPERFORM,False,KILL
XOM,set3,2,0.4348294613950682,0.3906832284981404,124,1,63,1923,0.5088647790420746,0.1709229491780489,2.2414027276049464,3.143980287069073,0.37073841043403377,0.3759559268301762,0.00521751639614243,-0.07082292680127436,PASS,PASS,False,KEEP
XOM,set3,3,0.43797572858942174,0.3906832284981404,35,1,18,356,0.09420481608891242,0.1831039942959627,2.2414027276049464,3.143980287069073,0.3759559268301762,0.3759559268301762,0.0,-0.07082292680127436,PASS,PASS,False,KEEP
XOM,set5,2,0.2910477650058585,0.3906832284981404,132,1,67,3021,0.7994178354061922,-0.38580302405704187,2.2414027276049464,3.143980287069073,0.21719050873261186,0.3759559268301762,0.15876541809756434,-0.004547394431376561,FAIL,FAIL_UNDERPERFORM,False,KILL
XOM,set5,3,0.42669635568982955,0.3906832284981404,196,1,99,1770,0.4683778777454353,0.13943460806349797,2.2414027276049464,3.143980287069073,0.3178342485532479,0.3759559268301762,0.058121678276928324,-0.004547394431376561,PASS,PASS,False,KEEP
